date,67.395,67.395_trend,67.395_0.5yr,67.395_1yr,67.395_4yr,67.395_12.24yr,67.395_model,67.395_noise,67.395_wtest,flagged
2003-12-03,0.000000,-3.207166,-0.275260,0.568162,0.436943,0.821353,-1.655968,1.655968,0.827984,False
2004-01-09,1.000000,-3.354293,0.117461,0.534306,0.497228,0.831404,-1.373894,2.373894,1.186947,False
2004-02-12,1.000000,-3.489201,0.344067,0.317441,0.541495,0.838645,-1.447553,2.447553,1.223776,False
2004-03-17,0.000000,-3.624109,0.152683,-0.004536,0.574252,0.843978,-2.057731,2.057731,1.028866,False
2004-04-27,-1.000000,-3.786792,-0.280039,-0.380676,0.597475,0.847857,-3.002174,2.002174,1.001087,False
2004-05-26,-3.000000,-3.901861,-0.320831,-0.545263,0.602779,0.848909,-3.316267,0.316267,0.158134,False
2004-06-25,-3.000000,-4.020898,-0.057343,-0.576026,0.598453,0.848520,-3.207295,0.207295,0.103648,False
2004-07-26,-2.000000,-4.143902,0.269330,-0.451081,0.583577,0.846539,-2.895538,0.895538,0.447769,False
2004-08-27,,-4.270875,0.313932,-0.191948,0.557406,0.842816,-2.748669,,,False
2004-09-30,-0.082557,-4.405783,-0.007462,0.143151,0.518113,0.837001,-2.914980,2.832423,1.416211,False
2004-10-28,-5.000000,-4.516884,-0.286767,0.388197,0.477440,0.830783,-3.107231,-1.892769,-0.946385,False
2004-11-26,-4.000000,-4.631953,-0.316325,0.548720,0.428064,0.822992,-3.148502,-0.851498,-0.425749,False
2004-12-24,-8.000000,-4.743053,-0.068974,0.577473,0.374097,0.814178,-3.046279,-4.953721,-2.476860,False
2005-01-25,-6.000000,-4.870287,0.269814,0.450664,0.305716,0.802542,-3.041550,-2.958450,-1.479225,False
2005-02-24,-7.000000,-4.989650,0.322328,0.209347,0.236284,0.790151,-3.431540,-3.568460,-1.784230,False
2005-03-24,-5.000000,-5.101055,0.083687,-0.066678,0.167908,0.777316,-4.138823,-0.861177,-0.430589,False
2005-04-22,-4.000000,-5.216439,-0.235678,-0.335762,0.094535,0.762752,-4.930591,0.930591,0.465296,False
2005-05-30,-3.000000,-5.367632,-0.303954,-0.556379,-0.003652,0.741753,-5.489864,2.489864,1.244932,False
2005-06-13,-3.000000,-5.423334,-0.194062,-0.581785,-0.039941,0.733479,-5.505644,2.505644,1.252822,False
2005-07-27,-4.000000,-5.598400,0.273464,-0.447465,-0.152441,0.705640,-5.219202,1.219202,0.609601,False
2005-08-17,-4.000000,-5.681954,0.343783,-0.286426,-0.204454,0.691394,-5.137657,1.137657,0.568829,False
2005-09-30,-7.000000,-5.857019,-0.004448,0.140678,-0.307538,0.659604,-5.368722,-1.631278,-0.815639,False
2005-10-28,-5.000000,-5.968424,-0.285594,0.386866,-0.367629,0.638052,-5.596729,0.596729,0.298364,False
2005-11-28,-4.000000,-6.091766,-0.306704,0.554862,-0.427907,0.613038,-5.658475,1.658475,0.829238,False
2005-12-28,-4.000000,-6.211129,-0.022231,0.570691,-0.479009,0.587722,-5.553955,1.553955,0.776978,False
2006-01-11,-5.000000,-6.266831,0.139709,0.525875,-0.500175,0.575546,-5.525876,0.525876,0.262938,False
