date,185.386,185.386_trend,185.386_0.5yr,185.386_1yr,185.386_4.46yr,185.386_7.51yr,185.386_model,185.386_noise,185.386_wtest,flagged
2003-12-03,0.000000,-1.778795,0.268555,0.505569,0.246076,0.182911,-0.575683,0.575683,0.287842,False
2004-01-09,2.000000,-1.901810,0.960719,0.512649,0.376059,0.258980,0.206597,1.793403,0.896701,False
2004-02-12,0.000000,-2.014608,0.389894,0.341253,0.488588,0.327111,-0.467764,0.467764,0.233882,False
2004-03-17,1.000000,-2.127407,-0.654595,0.056860,0.592760,0.393266,-1.739116,2.739116,1.369558,False
2004-04-27,3.000000,-2.263429,-0.800285,-0.301670,0.704745,0.469848,-2.190791,5.190791,2.595395,False
2004-05-26,-2.000000,-2.359639,0.010889,-0.476709,0.773526,0.521564,-1.530369,-0.469631,-0.234816,False
2004-06-25,0.000000,-2.459167,0.829277,-0.535728,0.834537,0.572650,-0.758431,0.758431,0.379216,False
2004-07-26,0.000000,-2.562013,0.826596,-0.450849,0.885896,0.622608,-0.677762,0.677762,0.338881,False
2004-08-27,-1.000000,-2.668176,-0.060333,-0.233012,0.925690,0.670896,-1.364934,0.364934,0.182467,False
2004-09-30,-2.000000,-2.780975,-0.905626,0.071676,0.952593,0.718266,-1.944067,-0.055933,-0.027967,False
2004-10-28,-2.000000,-2.873867,-0.781561,0.309235,0.962526,0.754031,-1.629636,-0.370364,-0.185182,False
2004-11-26,0.000000,-2.970078,0.043863,0.480850,0.961040,0.787818,-0.696507,0.696507,0.348254,False
2004-12-24,-3.000000,-3.062971,0.812130,0.536014,0.948252,0.817156,0.050582,-3.050582,-1.525291,False
2005-01-25,-3.000000,-3.169352,0.825488,0.450521,0.920106,0.846638,-0.126600,-2.873400,-1.436700,False
2005-02-24,-3.000000,-3.269153,0.000725,0.248244,0.880963,0.870165,-1.269056,-1.730944,-0.865472,False
2005-03-24,-3.000000,-3.362300,-0.788877,-0.000325,0.833772,0.888414,-2.429316,-0.570684,-0.285342,False
2005-04-22,0.000000,-3.458774,-0.888353,-0.256959,0.774648,0.903458,-2.925980,2.925980,1.462990,False
2005-05-30,-1.000000,-3.585189,0.122985,-0.490241,0.682631,0.917122,-2.352692,1.352692,0.676346,False
2005-06-13,-1.000000,-3.631762,0.550697,-0.527882,0.644920,0.920407,-2.043620,1.043620,0.521810,False
2005-07-27,-1.000000,-3.778137,0.816903,-0.448002,0.514688,0.924552,-1.969997,0.969997,0.484998,False
2005-08-17,-2.000000,-3.847997,0.277874,-0.314877,0.447064,0.923216,-2.514721,0.514721,0.257361,False
2005-09-30,-1.000000,-3.994372,-0.902784,0.069351,0.296405,0.913493,-3.617907,2.617907,1.308953,False
2005-10-28,-5.000000,-4.087519,-0.784964,0.307894,0.195805,0.902461,-3.466322,-1.533678,-0.766839,False
2005-11-28,-5.000000,-4.190646,0.106563,0.488355,0.081812,0.885915,-2.628001,-2.371999,-1.186000,False
2005-12-28,-4.000000,-4.290447,0.874626,0.533932,-0.029634,0.865645,-2.045878,-1.954122,-0.977061,False
2006-01-11,-4.000000,-4.337021,0.959356,0.506875,-0.081597,0.854778,-2.097609,-1.902391,-0.951196,False
2006-02-23,-6.000000,-4.480069,0.033798,0.256387,-0.239059,0.815953,-3.612990,-2.387010,-1.193505,False
